a,b,theta,E,E_p1,E_p2,E_t,machine_type,status,file_name
3.7,12.7,10,-47.62943972,-0.028620731,-11.58245784,-6.101820644,2,Done,pentacene_theta=10_a=3.7_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.8,5,-45.70543382,-0.012651857,-10.77554524,-6.032259905,1,Done,pentacene_theta=5_a=3.7_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.7,15,-48.54820723,-0.049175448,-12.37576101,-5.924583582,1,Done,pentacene_theta=15_a=3.6_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.3,20,-53.20551366,-0.087845125,-13.5703292,-6.472291252,1,Done,pentacene_theta=20_a=3.8_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.5,20,-69.14841174,-7.30297393,-1.157802386,-13.05671478,2,Done,pentacene_theta=20_a=6.6_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.7,10,-47.70718068,-0.028620731,-11.44837527,-6.188297169,2,Done,pentacene_theta=10_a=3.8_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.8,5,-45.90136503,-0.012651857,-10.71251312,-6.11275877,1,Done,pentacene_theta=5_a=3.8_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.8,15,-48.02833528,-0.04643072,-12.37576101,-5.795987957,1,Done,pentacene_theta=15_a=3.6_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.2,20,-53.26759448,-0.092694522,-13.69360103,-6.423750844,1,Done,pentacene_theta=20_a=3.7_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.6,20,-68.09864022,-6.858253828,-1.157802386,-13.01663195,2,Done,pentacene_theta=20_a=6.6_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.6,10,-48.03411088,-0.030706574,-11.58245784,-6.201945512,2,Done,pentacene_theta=10_a=3.7_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.6,15,-50.08428143,-0.05210592,-12.71305767,-6.138488563,1,Done,pentacene_theta=15_a=3.7_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.8,5,-45.33936206,-0.012651857,-10.33643759,-6.160295791,1,Done,pentacene_theta=5_a=3.9_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.3,20,-52.99944189,-0.087845125,-13.69360103,-6.359137394,1,Done,pentacene_theta=20_a=3.7_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.4,20,-70.7402515,-7.644571549,-1.057478597,-13.3340378,2,Done,pentacene_theta=20_a=6.7_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.6,10,-48.23742914,-0.030706574,-11.44837527,-6.319816363,2,Done,pentacene_theta=10_a=3.8_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.8,15,-48.92186685,-0.04643072,-12.71305767,-5.850722517,1,Done,pentacene_theta=15_a=3.7_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.9,5,-44.63433198,-0.011406877,-10.33643759,-5.984660762,1,Done,pentacene_theta=5_a=3.9_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.4,20,-52.58606842,-0.083296932,-13.69360103,-6.258068123,1,Done,pentacene_theta=20_a=3.7_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.6,20,-68.60762613,-6.858253828,-1.057478597,-13.19404032,2,Done,pentacene_theta=20_a=6.7_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.6,10,-47.68091186,-0.030706574,-11.01083451,-6.399457422,2,Done,pentacene_theta=10_a=3.9_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.6,15,-49.96371919,-0.05210592,-12.49906797,-6.21534285,1,Done,pentacene_theta=15_a=3.8_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,13,5,-43.88519172,-0.010265436,-10.33643759,-5.797946416,1,Done,pentacene_theta=5_a=3.9_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.8,6.4,20,-70.95588401,-7.644571549,-0.967703251,-13.4328336,2,Done,pentacene_theta=20_a=6.8_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.2,20,-53.62880932,-0.092694522,-13.5703292,-6.575690468,1,Done,pentacene_theta=20_a=3.8_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.7,10,-47.04263379,-0.028620731,-11.01083451,-6.240930825,2,Done,pentacene_theta=10_a=3.9_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.7,15,-49.31918861,-0.049175448,-12.49906797,-6.055675441,1,Done,pentacene_theta=15_a=3.8_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.7,5,-46.13684946,-0.013999748,-10.77554524,-6.139439868,1,Done,pentacene_theta=5_a=3.7_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.8,6.5,20,-69.89343177,-7.30297393,-0.967703251,-13.33801935,2,Done,pentacene_theta=20_a=6.8_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.4,20,-52.65916581,-0.083296932,-13.5703292,-6.337978384,1,Done,pentacene_theta=20_a=3.8_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.8,10,-46.34046767,-0.02667294,-11.01083451,-6.066363191,2,Done,pentacene_theta=10_a=3.9_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.8,15,-48.6067489,-0.04643072,-12.49906797,-5.878937877,1,Done,pentacene_theta=15_a=3.8_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.7,5,-46.45041369,-0.013999748,-10.71251312,-6.24934699,1,Done,pentacene_theta=5_a=3.8_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.8,6.6,20,-68.55011609,-6.858253828,-0.967709526,-13.22454735,2,Done,pentacene_theta=20_a=6.8_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
