cx,cy,cz,a,b,theta,Rt,A2,E,E_i01,E_ip1,E_ip2,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.0,1.1,11.4,5.9,7.3,65.0,2.2,3.0,-5.451567171257921,-1.0104253871832043,-0.1184111369075253,-0.1365650012157857,-2.0402935441816226,-0.05278927879408,-0.05278927879408,-2.0402935441816226,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.2_A2=3.0_cx=0.0_cy=1.1_cz=11.4.log
0.0,1.2,11.2,5.9,7.3,65.0,2.2,3.0,-5.768059369525872,-1.035411580349319,-0.1360441679134965,-0.1541992872953415,-2.1631738072028384,-0.0580283597810193,-0.0580283597810193,-2.1631738072028384,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.2_A2=3.0_cx=0.0_cy=1.2_cz=11.2.log
0.0,1.2,11.3,5.9,7.3,65.0,2.2,3.0,-5.692977798287757,-1.0608646409818905,-0.1245557148940861,-0.1452848801854998,-2.126312614942435,-0.0548236661707051,-0.0548236661707051,-2.126312614942435,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.2_A2=3.0_cx=0.0_cy=1.2_cz=11.3.log
0.0,1.2,11.4,5.9,7.3,65.0,2.2,3.0,-5.542138199554756,-1.0379642910556868,-0.1141340289032086,-0.1368662061868235,-2.0747852587373927,-0.0518015779671259,-0.0518015779671259,-2.0747852587373927,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.2_A2=3.0_cx=0.0_cy=1.2_cz=11.4.log
0.0,1.1,11.1,5.9,7.3,65.0,2.1,4.0,-5.637911285855807,-0.8699735889676958,-0.1631852304562926,-0.1570017469348386,-2.1571013930952176,-0.0667739666532725,-0.0667739666532725,-2.1571013930952176,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=4.0_cx=0.0_cy=1.1_cz=11.1.log
0.0,1.1,11.2,5.9,7.3,65.0,2.1,4.0,-5.596976298606023,-0.9870418545324356,-0.1492733338382095,-0.1479166572680696,-2.093389675254002,-0.062982551229652,-0.062982551229652,-2.093389675254002,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=4.0_cx=0.0_cy=1.1_cz=11.2.log
0.0,1.1,11.3,5.9,7.3,65.0,2.1,4.0,-5.46810707973782,-1.0326204156735912,-0.1364394993288442,-0.1393323204247281,-2.020443520275876,-0.0594139018794521,-0.0594139018794521,-2.020443520275876,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=4.0_cx=0.0_cy=1.1_cz=11.3.log
0.0,1.2,11.1,5.9,7.3,65.0,2.1,4.0,-5.7882225210778415,-0.9786495357984676,-0.1576367871602997,-0.1570983835263177,-2.182140924560372,-0.0652779827360063,-0.0652779827360063,-2.182140924560372,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=4.0_cx=0.0_cy=1.2_cz=11.1.log
0.0,1.2,11.3,5.9,7.3,65.0,2.1,4.0,-5.611191909993067,-1.0760905436472967,-0.1316654032561928,-0.1396636455319821,-2.073685861250852,-0.0582002975279465,-0.0582002975279465,-2.073685861250852,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=4.0_cx=0.0_cy=1.2_cz=11.3.log
0.0,1.3,11.1,5.9,7.3,65.0,2.1,4.0,-5.83073004882317,-1.0777295996667815,-0.1520431630779057,-0.156951546203345,-2.15821271337336,-0.0637901565642096,-0.0637901565642096,-2.15821271337336,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=4.0_cx=0.0_cy=1.3_cz=11.1.log
